country,year_week,total_runners,distance,duration
Afghanistan,2019-1,3,9.001666666666667,48.86527777777778
Latvia,2019-1,13,14.137954545454544,83.6875
Germany,2019-1,1724,11.87355195911414,65.01282730771658
Israel,2019-1,45,14.197045454545455,76.04722222222222
Zimbabwe,2019-1,1,19.88,126.5
Bolivia,2019-1,1,14.605,81.1625
Cyprus,2019-1,13,11.996571428571428,64.75744047619047
Spain,2019-1,456,11.139148174157304,56.9501638576779
Luxembourg,2019-1,26,12.600930555555557,66.58101851851852
Nigeria,2019-1,11,14.309148936170212,90.04787234042553
San Marino,2019-1,1,10.16,54.58888888888888
Ghana,2019-1,2,11.726923076923075,64.5474358974359
Armenia,2019-1,1,6.791666666666667,37.411111111111104
Angola,2019-1,4,14.772142857142857,66.35714285714286
Bosnia and Herzegovina,2019-1,3,13.015,76.68333333333334
Isle of Man,2019-1,13,8.88089090909091,46.78181818181818
Croatia,2019-1,20,12.725770833333334,78.94409722222223
Norway,2019-1,431,11.834836433611288,64.3317404319008
Turkey,2019-1,42,11.7129453125,67.39830729166667
Mexico,2019-1,277,10.476271144278607,57.910074626865665
Sudan,2019-1,2,16.39,85.40833333333333
Italy,2019-1,430,12.194392231530845,65.44732165524245
Bermuda,2019-1,4,13.623333333333333,71.21249999999999
Australia,2019-1,470,11.910804060913705,64.33675126903553
New Zealand,2019-1,50,10.639346590909092,62.03210227272727
Belarus,2019-1,18,11.150696428571427,69.48690476190475
South Korea,2019-1,69,12.634161157024794,69.55323691460056
Senegal,2019-1,1,8.209999999999999,41.26
Finland,2019-1,40,11.8998984375,69.18502604166666
Andorra,2019-1,1,9.535,44.24166666666667
Denmark,2019-1,263,12.105678449258837,61.437457240592934
Saudi Arabia,2019-1,7,6.759333333333333,36.74111111111111
Uzbekistan,2019-1,1,9.825,53.079166666666666
Jamaica,2019-1,1,15.6025,72.95416666666667
Belgium,2019-1,181,12.292952631578947,67.1575730994152
Nicaragua,2019-1,6,9.901625000000001,64.62013888888889
Laos,2019-1,1,9.11,55.21666666666667
France,2019-1,712,11.790382579403273,63.297818415142764
Czechia,2019-1,44,13.54688679245283,71.53511530398323
Uganda,2019-1,1,10.192499999999999,65.40833333333333
South Sudan,2019-1,1,7.46,50.0
Ukraine,2019-1,70,12.11158984375,68.51171875
Russia,2019-1,259,11.35766583541147,65.44715295095594
Gibraltar,2019-1,2,8.422222222222222,45.209259259259255
Venezuela,2019-1,27,13.769285714285713,88.79285714285714
China,2019-1,282,13.26707423580786,80.46098981077147
Peru,2019-1,45,10.901842465753425,60.580821917808215
Portugal,2019-1,73,12.039556034482759,64.15962643678161
Guernsey,2019-1,11,10.29125,55.651250000000005
Thailand,2019-1,266,11.821985393258428,83.45039325842697
Switzerland,2019-1,211,11.979466463414633,65.96717479674797
Canada,2019-1,971,12.008125853914873,65.00102907689613
Kosovo,2019-1,1,9.0725,42.858333333333334
India,2019-1,91,13.225709265175718,80.84169329073482
Anguilla,2019-1,1,12.71,90.91666666666666
Philippines,2019-1,42,10.21542718446602,69.10275080906149
Chile,2019-1,96,11.65024776119403,62.275373134328355
Poland,2019-1,140,12.51210707070707,67.75959595959596
Honduras,2019-1,6,11.316666666666666,64.92142857142856
Vietnam,2019-1,8,10.541724137931034,80.90747126436781
Taiwan,2019-1,226,13.07887703889586,73.16127143454621
Cayman Islands,2019-1,5,13.780346153846153,68.86730769230769
Hungary,2019-1,40,14.64344537815126,84.9701680672269
Iceland,2019-1,64,10.977167539267016,65.57705061082025
Argentina,2019-1,59,11.633495,61.477250000000005
Lithuania,2019-1,14,11.099588235294117,57.03954248366013
Bulgaria,2019-1,3,8.526363636363637,51.41060606060606
Botswana,2019-1,1,6.913333333333334,38.87777777777777
Costa Rica,2019-1,123,10.321084210526315,58.27951754385965
Ireland,2019-1,183,11.064411188811189,56.28925407925408
Panama,2019-1,28,10.252758620689656,60.9515325670498
Brazil,2019-1,547,10.721230369889684,61.25350421804023
Greece,2019-1,21,10.444350877192981,61.33216374269006
Suriname,2019-1,1,11.0,67.91666666666667
Tunisia,2019-1,4,13.500833333333333,76.875
Iran,2019-1,1,8.584833333333334,50.19444444444445
Paraguay,2019-1,5,7.1445454545454545,40.65909090909091
Monaco,2019-1,3,10.991111111111111,62.446296296296296
Lebanon,2019-1,1,15.683166666666667,85.92222222222222
Brunei,2019-1,1,4.800000000000001,24.841666666666665
Romania,2019-1,16,11.296292307692308,64.6751282051282
Colombia,2019-1,118,10.789646551724138,63.08366858237547
Guatemala,2019-1,45,11.780674242424242,66.77664141414141
Indonesia,2019-1,197,9.649967741935484,65.8312676853424
Trinidad and Tobago,2019-1,1,7.93,45.88333333333333
Sweden,2019-1,235,11.145938040345822,59.60552353506244
Japan,2019-1,700,13.345876841243863,79.94375340971085
United Arab Emirates,2019-1,59,12.476965714285715,70.49657142857143
Moldova,2019-1,6,11.57625,64.83854166666667
East Timor,2019-1,1,11.160000000000002,78.0
El Salvador,2019-1,11,10.904666666666666,64.59388888888888
Jersey,2019-1,19,11.672580246913581,60.46687242798354
United States,2019-1,11191,11.469854098509632,61.55708189446262
Singapore,2019-1,136,11.07215502183406,66.81779475982533
Kenya,2019-1,14,13.461428571428572,75.67891156462585
Montenegro,2019-1,2,5.8999999999999995,35.79761904761905
Bahrain,2019-1,3,13.88764705882353,77.88725490196077
Dominican Republic,2019-1,41,9.088673913043479,56.90072463768116
Uruguay,2019-1,3,10.981,56.50925925925926
Azerbaijan,2019-1,3,13.535,74.575
Netherlands,2019-1,697,11.38254707870594,61.70489296636085
Kazakhstan,2019-1,8,12.155,74.9297619047619
Faroe Islands,2019-1,6,14.495633333333334,80.23666666666666
South Africa,2019-1,122,10.565812933025406,61.61651270207852
Estonia,2019-1,8,11.766875,74.1578125
Bahamas,2019-1,1,5.949999999999999,34.05833333333333
Serbia,2019-1,15,10.74222641509434,60.07955974842768
Malaysia,2019-1,72,10.355733031674209,66.365987933635
Morocco,2019-1,2,10.344,55.03666666666667
Jordan,2019-1,4,11.12923076923077,63.90128205128205
Kuwait,2019-1,1,7.8566666666666665,48.28888888888889
Fiji,2019-1,1,7.4075,50.329166666666666
Namibia,2019-1,1,7.51,46.70833333333333
Slovakia,2019-1,26,12.317358695652173,71.66956521739131
Slovenia,2019-1,23,11.821886075949367,68.58586497890296
Ecuador,2019-1,25,10.548852459016393,62.6620218579235
Myanmar,2019-1,2,13.192222222222222,69.22037037037038
Austria,2019-1,71,13.234655660377358,74.72979559748428
